company_name,ticker,sector,revenue,net_income,operating_margin,net_profit_margin,operating_cash_flow
3M Company,MMM,Industrial,29233400000.0,5012250000.0,0.20567956185014621,0.17027619884507325,5700444444.444445
AbbVie Inc.,ABBV,Healthcare,45174000000.0,6092500000.0,0.2810382872428708,0.15755283338998635,18077111111.11111
Adobe Inc.,ADBE,Technology,,2472163052.631579,,,3771140473.6842103
Advanced Micro Devices Inc.,AMD,Technology,15568000000.0,786375000.0,0.07149809422327291,0.0710945163882813,1118611111.1111112
Alphabet Inc.,GOOGL,Technology,205143142857.14285,22271500000.0,0.25897011039682216,0.18353693741337182,72103583333.33333
Amazon.com Inc.,AMZN,Consumer Discretionary,412679900000.0,3770857142.857143,0.057832203804492846,0.03486031787659113,34032315789.473682
American Express Company,AXP,Financial Services,31200222222.22222,5881722222.222222,,0.2235853671322286,12960363636.363636
Amgen Inc.,AMGN,Healthcare,28493285714.285713,5360615384.615385,0.3107658050179546,0.31069380067753494,8587277777.777778
Apple Inc.,AAPL,Technology,331127111111.1111,58354812500.0,0.28394149243543676,0.2367136854674396,75926642857.14285
Bank of America Corporation,BAC,Financial Services,,18277875000.0,,,25982857142.857143
BlackRock Inc.,BLK,Financial Services,15738625000.0,3382058823.529412,0.3711712238915474,0.3050369848290253,3031666666.6666665
Bristol Mayers Squibb Company,BMY,Healthcare,,3009842105.263158,,,7691315789.473684
Caterpillar Inc.,CAT,Industrials,,2218000000.0,,,8311272727.272727
Chevron Corporation,CVX,Energy,169915000000.0,13282000000.0,,0.018507329028131472,29309166666.666668
Cisco Systems Inc.,CSCO,Technology,51930000000.0,9062235294.117647,0.2528191852885642,0.187581842092701,13550538461.538462
Citigroup Inc.,C,Financial Services,,8061071428.571428,,,-10727714285.714285
ConocoPhillips,COP,Energy,39082444444.44444,5905444444.444445,,0.12765111231139575,16056666666.666666
Costco Wholesale Corporation,COST,Consumer Staples,190364500000.0,3430555555.5555553,0.033432576520743065,0.024630637485377933,6647384615.384615
Deere & Company,DE,Industrial,,3309077777.7777777,,,4774192857.142858
Eli Lilly and Company,LLY,Healthcare,,5203188235.294118,,,6479922222.222222
Exxon Mobil Corporation,XOM,Energy,245468600000.0,26689166666.666668,,0.07127377619124846,41359285714.28571
General Electric Company,GE,Industrials,111857000000.0,5623909090.909091,,0.0680759909595084,15960866666.666666
Gilead Sciences Inc.,GILD,Healthcare,27635625000.0,5382614705.882353,0.3245854449699792,0.1921820673969308,8299970684.210526
Goldman Sachs Group Inc.,GS,Financial Services,,8830550000.0,,,-4804500000.0
Honeywell International Inc.,HON,Industrials,1830943000.0,274099800.0,0.23332182445543934,0.18534177280609487,407924200.0
Intel Corporation,INTC,Technology,64508800000.0,9291777777.777779,0.14712379473507253,0.12361071005813624,18946846153.846153
International Business Machines Corporation,IBM,Technology,,7824000000.0,,,15289000000.0
JPMorgan Chase & Co.,JPM,Financial Services,,22769692307.692307,,,17041333333.333334
Johnson & Johnson,JNJ,Healthcare,82146700000.0,16226866666.666666,,0.21421631125134635,19658105263.157894
Mastercard Incorporated,MA,Financial Services,23405500000.0,1527147666.6666667,0.3602159305200562,,6603553812.5
McDonald's Corporation,MCD,Consumer,,4900392857.142858,,,7183984210.526316
Merck & Co. Inc.,MRK,Healthcare,,6249528571.428572,,,11325233333.333334
Meta Platforms Inc.,META,Technology,101569800000.0,9607363636.363636,0.39394499700021546,0.35162784421504617,34799062500.0
Microsoft Corporation,MSFT,Technology,163754666666.66666,38131666666.666664,0.37248072927170645,0.2986509078527021,59444166666.666664
Morgan Stanley,MS,Financial Services,,7049789473.684211,,,2840266666.6666665
NVIDIA Corporation,NVDA,Technology,11186600000.0,1187029923.0769231,0.29892244159883835,0.29107749514980563,12446236210.526316
Nike Inc.,NKE,Consumer Discretionary,43380100000.0,2941742857.142857,,0.09049957010661987,3980127777.7777777
Oracle Corporation,ORCL,Technology,46633900000.0,9517388888.88889,0.31759454790449987,0.22173104142924088,14700066666.666666
PepsiCo Inc.,PEP,Consumer Staples,,7232312500.0,,,10137625000.0
Pfizer Inc.,PFE,Healthcare,51941666666.666664,12768388888.88889,,0.3011110035083874,16677947368.421053
Qualcomm Incorporated,QCOM,Technology,,5340166666.666667,,,7536722222.222222
Salesforce Inc.,CRM,Technology,25494222222.22222,431218923.0769231,0.07730517463465587,0.06785353169537753,4122708500.0
Starbucks Corporation,SBUX,Consumer,,2267394444.4444447,,,3854294444.4444447
Tesla Inc.,TSLA,Consumer Discretionary,84915000000.0,2383838562.5,0.0998127462206804,0.1048480778186635,6596026666.666667
The Boeing Company,BA,Industrial,85282000000.0,1423777777.7777777,0.11003670017552258,0.08997393755651295,3632526315.7894735
The Coca-Cola Company,KO,Consumer Staples,,7949066666.666667,,,9172600000.0
United Parcel Service Inc.,UPS,Industrial,82709200000.0,4576368421.052631,0.1076027539066575,0.07193415203197288,7952631578.947369
Visa Inc.,V,Financial Services,29545285714.285713,8308736842.105263,0.6420949953840461,0.5177349192015824,9414368421.052631
Walmart Inc.,WMT,Consumer Staples,575979700000.0,13943857142.857143,0.04188829409505064,0.022852260494185976,28355157894.736843
Wells Fargo & Company,WFC,Financial Services,,16702444444.444445,,,17819812500.0
