company_name,ticker,sector,period_end,net_income,operating_margin,net_profit_margin
Microsoft Corporation,MSFT,Technology,2016-06-30,20539000000.0,0.28608728086534874,0.22532198257893235
Microsoft Corporation,MSFT,Technology,2017-06-30,25489000000.0,0.3005560675565128,0.26394052044609667
Microsoft Corporation,MSFT,Technology,2018-06-30,16571000000.0,0.3176694454512505,0.1501540413193186
Microsoft Corporation,MSFT,Technology,2019-06-30,39240000000.0,0.3413698020549415,0.3118171054409065
Microsoft Corporation,MSFT,Technology,2020-06-30,44281000000.0,0.37030381428521486,0.3096248645247002
Microsoft Corporation,MSFT,Technology,2021-06-30,61271000000.0,0.415948788729713,0.36451739564989766
Microsoft Corporation,MSFT,Technology,2023-06-30,72361000000.0,0.417728806361041,0.3414623787839464
Microsoft Corporation,MSFT,Technology,2024-06-30,88136000000.0,0.44644299573273716,0.35955972944084985
Microsoft Corporation,MSFT,Technology,2025-06-30,101832000000.0,0.4562195624085985,0.3614601524896707
Apple Inc.,AAPL,Technology,2017-09-30,48351000000.0,0.2676042820872994,0.21092420845075338
Apple Inc.,AAPL,Technology,2018-09-29,59531000000.0,0.26694026619477024,0.22414202074587247
Apple Inc.,AAPL,Technology,2019-09-28,55256000000.0,0.24572017188496928,0.21238094505984456
Apple Inc.,AAPL,Technology,2020-09-26,57411000000.0,0.24147314354406862,0.20913611278072236
Apple Inc.,AAPL,Technology,2021-09-25,94680000000.0,0.29782377527561593,0.2588179335569424
Apple Inc.,AAPL,Technology,2022-09-24,99803000000.0,0.30288744395528594,0.2530964070519973
Apple Inc.,AAPL,Technology,2023-09-30,96995000000.0,0.2982141226502472,0.2530623426432028
Apple Inc.,AAPL,Technology,2024-09-28,93736000000.0,0.31510222870075566,0.23971255769943867
Apple Inc.,AAPL,Technology,2025-09-27,112010000000.0,0.31970799762591884,0.2691506412181824
NVIDIA Corporation,NVDA,Technology,2017-01-29,1666000000.0,0.27988422575976846,0.2410998552821997
NVIDIA Corporation,NVDA,Technology,2018-01-28,3047000000.0,0.3304508956145769,0.3136709903232448
NVIDIA Corporation,NVDA,Technology,2019-01-27,4141000000.0,0.3246841925571868,0.35344827586206895
NVIDIA Corporation,NVDA,Technology,2020-01-26,2796000000.0,0.2606704524638212,0.2560908591317091
Amazon.com Inc.,AMZN,Consumer Discretionary,2016-12-31,2371000000.0,0.030782354195621642,0.017435490157147373
Amazon.com Inc.,AMZN,Consumer Discretionary,2017-12-31,3033000000.0,0.023084794170892695,0.01705216286417865
