company_name,ticker,current_ratio
3M Company,MMM,1.6046027145494257
AbbVie Inc.,ABBV,1.1847396625621063
Adobe Inc.,ADBE,1.067579127459367
Advanced Micro Devices Inc.,AMD,2.6162615025408598
Alphabet Inc.,GOOGL,1.8369313974102914
Amazon.com Inc.,AMZN,1.063734806137178
American Express Company,AXP,
Amgen Inc.,AMGN,2.5334609260107834
Apple Inc.,AAPL,0.8673125765340832
Bank of America Corporation,BAC,
BlackRock Inc.,BLK,
Bristol Mayers Squibb Company,BMY,1.4811102640021316
Caterpillar Inc.,CAT,1.394304106180339
Chevron Corporation,CVX,1.1928762337117103
Cisco Systems Inc.,CSCO,0.9082889808791642
Citigroup Inc.,C,
ConocoPhillips,COP,1.2905806664467172
Costco Wholesale Corporation,COST,0.965655312429506
Deere & Company,DE,
Eli Lilly and Company,LLY,1.2380642549896632
Exxon Mobil Corporation,XOM,1.3937530834591916
General Electric Company,GE,1.2003654098991732
Gilead Sciences Inc.,GILD,2.0253832119413504
Goldman Sachs Group Inc.,GS,
Honeywell International Inc.,HON,0.9971663611090951
Intel Corporation,INTC,1.7714907904140709
International Business Machines Corporation,IBM,0.9519320410180753
JPMorgan Chase & Co.,JPM,
Johnson & Johnson,JNJ,1.244430721608062
Mastercard Incorporated,MA,1.2970961775078327
McDonald's Corporation,MCD,1.191142191142191
Merck & Co. Inc.,MRK,1.320689255056987
Meta Platforms Inc.,META,2.9778842719371355
Microsoft Corporation,MSFT,1.2749549031815206
Morgan Stanley,MS,
NVIDIA Corporation,NVDA,4.439851498864077
Nike Inc.,NKE,2.0859607323746454
Oracle Corporation,ORCL,1.99990573757262
PepsiCo Inc.,PEP,1.0357128484225784
Pfizer Inc.,PFE,1.2329508345774631
Qualcomm Incorporated,QCOM,2.02888885274823
Salesforce Inc.,CRM,0.876684764410326
Starbucks Corporation,SBUX,0.8750685971171746
Tesla Inc.,TSLA,2.024912390270983
The Boeing Company,BA,1.318506767753765
The Coca-Cola Company,KO,1.0598683608509525
United Parcel Service Inc.,UPS,1.1363858032877174
Visa Inc.,V,1.5676841067359062
Walmart Inc.,WMT,0.8226828460200447
Wells Fargo & Company,WFC,
