company_name,ticker,sector,period_end,operating_cash_flow
Microsoft Corporation,MSFT,Technology,2008-06-30,21612000000.0
Microsoft Corporation,MSFT,Technology,2009-06-30,19037000000.0
Microsoft Corporation,MSFT,Technology,2010-06-30,24073000000.0
Microsoft Corporation,MSFT,Technology,2016-06-30,33325000000.0
Microsoft Corporation,MSFT,Technology,2017-06-30,39507000000.0
Microsoft Corporation,MSFT,Technology,2018-06-30,43884000000.0
Microsoft Corporation,MSFT,Technology,2019-06-30,52185000000.0
Microsoft Corporation,MSFT,Technology,2020-06-30,60675000000.0
Microsoft Corporation,MSFT,Technology,2021-06-30,76740000000.0
Microsoft Corporation,MSFT,Technology,2023-06-30,87582000000.0
Microsoft Corporation,MSFT,Technology,2024-06-30,118548000000.0
Microsoft Corporation,MSFT,Technology,2025-06-30,136162000000.0
Apple Inc.,AAPL,Technology,2008-09-27,9596000000.0
Apple Inc.,AAPL,Technology,2009-09-26,10159000000.0
Apple Inc.,AAPL,Technology,2011-09-24,37529000000.0
Apple Inc.,AAPL,Technology,2015-09-26,81266000000.0
Apple Inc.,AAPL,Technology,2016-09-24,66231000000.0
Apple Inc.,AAPL,Technology,2017-09-30,64225000000.0
Apple Inc.,AAPL,Technology,2018-09-29,77434000000.0
Apple Inc.,AAPL,Technology,2019-09-28,69391000000.0
Apple Inc.,AAPL,Technology,2020-09-26,80674000000.0
Apple Inc.,AAPL,Technology,2021-09-25,104038000000.0
Apple Inc.,AAPL,Technology,2022-09-24,122151000000.0
Apple Inc.,AAPL,Technology,2023-09-30,110543000000.0
Apple Inc.,AAPL,Technology,2024-09-28,118254000000.0
Apple Inc.,AAPL,Technology,2025-09-27,111482000000.0
NVIDIA Corporation,NVDA,Technology,2008-01-27,1270196000.0
NVIDIA Corporation,NVDA,Technology,2009-01-25,249360000.0
NVIDIA Corporation,NVDA,Technology,2010-01-31,487807000.0
NVIDIA Corporation,NVDA,Technology,2011-01-30,675797000.0
NVIDIA Corporation,NVDA,Technology,2012-01-29,909156000.0
NVIDIA Corporation,NVDA,Technology,2013-01-27,824172000.0
NVIDIA Corporation,NVDA,Technology,2014-01-26,835000000.0
NVIDIA Corporation,NVDA,Technology,2015-01-25,906000000.0
NVIDIA Corporation,NVDA,Technology,2016-01-31,1175000000.0
NVIDIA Corporation,NVDA,Technology,2017-01-29,1672000000.0
NVIDIA Corporation,NVDA,Technology,2018-01-28,3502000000.0
NVIDIA Corporation,NVDA,Technology,2019-01-27,3743000000.0
NVIDIA Corporation,NVDA,Technology,2020-01-26,4761000000.0
NVIDIA Corporation,NVDA,Technology,2021-01-31,5822000000.0
NVIDIA Corporation,NVDA,Technology,2022-01-30,9108000000.0
NVIDIA Corporation,NVDA,Technology,2023-01-29,5641000000.0
NVIDIA Corporation,NVDA,Technology,2024-01-28,28090000000.0
NVIDIA Corporation,NVDA,Technology,2025-01-26,64089000000.0
NVIDIA Corporation,NVDA,Technology,2026-01-25,102718000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2007-12-31,1405000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2008-12-31,1697000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2009-12-31,3293000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2010-12-31,3495000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2011-12-31,3903000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2012-12-31,4180000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2013-12-31,5475000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2014-12-31,6842000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2015-12-31,12039000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2016-12-31,17203000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2017-12-31,18365000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2018-12-31,30723000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2019-12-31,38514000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2020-12-31,66064000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2021-12-31,46327000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2022-12-31,46752000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2023-12-31,84946000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2024-12-31,115877000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2025-12-31,139514000000.0
Meta Platforms Inc.,META,Technology,2010-12-31,698000000.0
Meta Platforms Inc.,META,Technology,2011-12-31,1549000000.0
Meta Platforms Inc.,META,Technology,2012-12-31,1612000000.0
Meta Platforms Inc.,META,Technology,2013-12-31,4222000000.0
Meta Platforms Inc.,META,Technology,2014-12-31,7326000000.0
Meta Platforms Inc.,META,Technology,2015-12-31,10320000000.0
Meta Platforms Inc.,META,Technology,2016-12-31,16108000000.0
Meta Platforms Inc.,META,Technology,2017-12-31,24216000000.0
Meta Platforms Inc.,META,Technology,2018-12-31,29274000000.0
Meta Platforms Inc.,META,Technology,2019-12-31,36314000000.0
Meta Platforms Inc.,META,Technology,2020-12-31,38747000000.0
Meta Platforms Inc.,META,Technology,2021-12-31,57683000000.0
Meta Platforms Inc.,META,Technology,2022-12-31,50475000000.0
Meta Platforms Inc.,META,Technology,2023-12-31,71113000000.0
Meta Platforms Inc.,META,Technology,2024-12-31,91328000000.0
Meta Platforms Inc.,META,Technology,2025-12-31,115800000000.0
Alphabet Inc.,GOOGL,Technology,2014-12-31,23024000000.0
Alphabet Inc.,GOOGL,Technology,2015-12-31,26572000000.0
Alphabet Inc.,GOOGL,Technology,2016-12-31,36036000000.0
Alphabet Inc.,GOOGL,Technology,2017-12-31,37091000000.0
Alphabet Inc.,GOOGL,Technology,2018-12-31,47971000000.0
