company_name,ticker,sector,period_end,revenue
Microsoft Corporation,MSFT,Technology,2016-06-30,91154000000.0
Microsoft Corporation,MSFT,Technology,2017-06-30,96571000000.0
Microsoft Corporation,MSFT,Technology,2018-06-30,110360000000.0
Microsoft Corporation,MSFT,Technology,2019-06-30,125843000000.0
Microsoft Corporation,MSFT,Technology,2020-06-30,143015000000.0
Microsoft Corporation,MSFT,Technology,2021-06-30,168088000000.0
Microsoft Corporation,MSFT,Technology,2023-06-30,211915000000.0
Microsoft Corporation,MSFT,Technology,2024-06-30,245122000000.0
Microsoft Corporation,MSFT,Technology,2025-06-30,281724000000.0
Apple Inc.,AAPL,Technology,2017-09-30,229234000000.0
Apple Inc.,AAPL,Technology,2018-09-29,265595000000.0
Apple Inc.,AAPL,Technology,2019-09-28,260174000000.0
Apple Inc.,AAPL,Technology,2020-09-26,274515000000.0
Apple Inc.,AAPL,Technology,2021-09-25,365817000000.0
Apple Inc.,AAPL,Technology,2022-09-24,394328000000.0
Apple Inc.,AAPL,Technology,2023-09-30,383285000000.0
Apple Inc.,AAPL,Technology,2024-09-28,391035000000.0
Apple Inc.,AAPL,Technology,2025-09-27,416161000000.0
NVIDIA Corporation,NVDA,Technology,2017-01-29,6910000000.0
NVIDIA Corporation,NVDA,Technology,2018-01-28,9714000000.0
NVIDIA Corporation,NVDA,Technology,2019-01-27,11716000000.0
NVIDIA Corporation,NVDA,Technology,2020-01-26,10918000000.0
NVIDIA Corporation,NVDA,Technology,2021-01-31,16675000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2016-12-31,135987000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2017-12-31,177866000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2018-12-31,232887000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2019-12-31,280522000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2020-12-31,386064000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2021-12-31,469822000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2022-12-31,513983000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2023-12-31,574785000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2024-12-31,637959000000.0
Amazon.com Inc.,AMZN,Consumer Discretionary,2025-12-31,716924000000.0
Meta Platforms Inc.,META,Technology,2016-12-31,27638000000.0
Meta Platforms Inc.,META,Technology,2017-12-31,40653000000.0
Meta Platforms Inc.,META,Technology,2018-12-31,55838000000.0
Meta Platforms Inc.,META,Technology,2019-12-31,70697000000.0
Meta Platforms Inc.,META,Technology,2020-12-31,85965000000.0
Meta Platforms Inc.,META,Technology,2021-12-31,117929000000.0
Meta Platforms Inc.,META,Technology,2022-12-31,116609000000.0
Meta Platforms Inc.,META,Technology,2023-12-31,134902000000.0
Meta Platforms Inc.,META,Technology,2024-12-31,164501000000.0
Meta Platforms Inc.,META,Technology,2025-12-31,200966000000.0
Alphabet Inc.,GOOGL,Technology,2016-12-31,90272000000.0
Alphabet Inc.,GOOGL,Technology,2017-12-31,110855000000.0
Alphabet Inc.,GOOGL,Technology,2019-12-31,161857000000.0
Alphabet Inc.,GOOGL,Technology,2020-12-31,182527000000.0
Alphabet Inc.,GOOGL,Technology,2021-12-31,257637000000.0
Alphabet Inc.,GOOGL,Technology,2022-12-31,282836000000.0
Alphabet Inc.,GOOGL,Technology,2024-12-31,350018000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2021-12-31,53823000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2022-12-31,81462000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2023-12-31,96773000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2024-12-31,97690000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2025-12-31,94827000000.0
Oracle Corporation,ORCL,Technology,2017-05-31,37792000000.0
Oracle Corporation,ORCL,Technology,2018-05-31,39383000000.0
Oracle Corporation,ORCL,Technology,2019-05-31,39506000000.0
Oracle Corporation,ORCL,Technology,2020-05-31,39068000000.0
Oracle Corporation,ORCL,Technology,2021-05-31,40479000000.0
Oracle Corporation,ORCL,Technology,2022-05-31,42440000000.0
Oracle Corporation,ORCL,Technology,2023-05-31,49954000000.0
Oracle Corporation,ORCL,Technology,2024-05-31,52961000000.0
Oracle Corporation,ORCL,Technology,2025-05-31,57399000000.0
Oracle Corporation,ORCL,Technology,2026-05-31,67357000000.0
Salesforce Inc.,CRM,Technology,2017-01-31,8437000000.0
Salesforce Inc.,CRM,Technology,2018-01-31,10540000000.0
Salesforce Inc.,CRM,Technology,2020-01-31,17098000000.0
Salesforce Inc.,CRM,Technology,2021-01-31,21252000000.0
Salesforce Inc.,CRM,Technology,2022-01-31,26492000000.0
Salesforce Inc.,CRM,Technology,2023-01-31,31352000000.0
Salesforce Inc.,CRM,Technology,2024-01-31,34857000000.0
Salesforce Inc.,CRM,Technology,2025-01-31,37895000000.0
Salesforce Inc.,CRM,Technology,2026-01-31,41525000000.0
Advanced Micro Devices Inc.,AMD,Technology,2016-12-31,4319000000.0
Advanced Micro Devices Inc.,AMD,Technology,2017-12-30,5253000000.0
Advanced Micro Devices Inc.,AMD,Technology,2018-12-29,6475000000.0
Advanced Micro Devices Inc.,AMD,Technology,2019-12-28,6731000000.0
Advanced Micro Devices Inc.,AMD,Technology,2020-12-26,9763000000.0
